# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
SN2017cpu 0.05502 36.83115 0.095022
AT2017oz 0.05614 36.99623 0.131972
2006py 0.05653 36.96139 0.166739
PS16aer 0.05693 37.13672 0.135422
2005hj 0.05708 37.07054 0.148687
2006ob 0.05824 37.05644 0.109213
SN2016gmb 0.05830 37.05872 0.109071
2001ah 0.05886 37.15499 0.151639
SN2017cjv 0.06092 37.20488 0.115052
2008bz 0.06099 37.36659 0.082692
SN2016hhv 0.06121 37.37005 0.151421
2006oa 0.06153 37.22290 0.119652
SN2016aqb 0.06384 37.19750 0.093884
PS16bnz 0.06446 37.20911 0.118835
2007ae 0.06533 37.14360 0.109162
PS15cms 0.06627 37.36253 0.116889
SN2016ixf 0.06711 37.52847 0.108405
AT2016aj 0.06725 37.41339 0.121300
PS15bjg 0.06786 37.54095 0.105079
CSS160129 0.06844 37.39806 0.114484
2006al 0.06886 37.60919 0.094897
PTSS17-niq 0.06897 37.40023 0.095240
2008Y 0.07056 37.36244 0.132924
PS17yt 0.07073 37.53894 0.086665
PS16em 0.07083 37.60601 0.181722
2006on 0.07089 37.37352 0.196050
ATLAS16bwu 0.07091 37.34903 0.170647
PS15bdr 0.07116 37.55578 0.106084
PS15bwh 0.07158 37.45519 0.112025
PS15mt 0.07193 37.72225 0.116444
PS15atx 0.07252 37.86168 0.136379
1371046 0.07334 37.60807 0.438306
1318737 0.07374 37.36177 0.200251
Gaia16aki 0.07393 37.69622 0.096787
PS17bii 0.07446 37.47561 0.101147
2005ir 0.07520 37.78693 0.108663
AT2016gsu 0.07575 37.66958 0.114051
PS15bif 0.07845 37.67794 0.144450
Gaia16acv 0.07859 37.95956 0.091494
PS15bzz 0.07931 37.67811 0.101030
SN2016glp 0.08410 38.06760 0.212486
2006bu 0.08478 37.92895 0.137237
SN2016grz 0.08704 38.06308 0.196816
1864053 0.09333 38.14556 0.123608
1344303 0.09394 38.19696 0.274646
1317612 0.10442 38.35683 0.130377
1259241 0.10543 38.31943 0.221127
1330031 0.10563 38.54264 0.088004
1336975 0.11048 38.25468 0.116251
1289982 0.11621 41.38301 206.317848
1879649 0.11979 39.18096 194.645627
1833339 0.13051 38.87889 0.126154
1334084 0.13349 38.98171 0.230782
1815065 0.13537 38.89598 0.163966
1317666 0.14136 39.34775 0.148892
1296657 0.14624 39.29023 0.134122
1283923 0.14631 39.46035 0.163756
1316385 0.14740 39.00672 0.175396
1530193 0.14802 39.16841 0.167409
1293758 0.14812 39.29882 0.091451
1871023 0.14840 39.93288 192.431702
1277173 0.14940 39.34373 0.101259
1247420 0.15026 39.18191 0.112366
1306366 0.15062 39.60073 0.327826
1317164 0.15459 39.23567 0.189220
1299775 0.16008 39.12071 0.195498
1578103 0.16008 39.39296 0.173244
1250034 0.16085 39.40043 0.135863
1479069 0.17267 39.59667 0.103615
1303279 0.17273 39.29306 0.085329
1770639 0.17623 40.67369 121.926407
1294436 0.17800 41.63537 256.203029
1303496 0.17978 39.69446 0.152072
1339392 0.18148 39.38710 0.099959
1250017 0.18216 39.81530 0.097979
1257695 0.18383 39.78048 0.099320
1296321 0.18444 40.03362 0.206257
1336453 0.18492 39.85380 0.111358
1273127 0.18937 39.97330 0.128725
1295844 0.19209 40.96771 132.590108
1261193 0.19246 39.86546 0.232797
1879208 0.19471 39.99672 0.099417
1253920 0.19555 39.74864 0.116026
1298893 0.19616 39.92790 0.149461
1334620 0.19624 39.94861 0.364458
1922067 0.19771 39.82890 0.114175
1324938 0.19847 40.74201 192.802304
1281119 0.19902 40.11619 0.208804
1335323 0.19991 39.82392 0.205143
1782065 0.20173 39.82988 0.105521
1550021 0.20587 39.94322 0.301239
1327978 0.20699 39.99299 0.160007
1283373 0.20753 40.16818 0.103354
1315197 0.20823 39.99434 0.112019
1324509 0.21062 39.95602 0.209315
